"Fecha","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted","Año","Año2g","Mes_num","Mes_txt","Mes_txt2","Dia_num","Dia_año","Dia_txt","Dia_txt2","Semana_D","Semana_L","Trimestre","TrimestreQ"
2024-09-16,70,70.302001953125,68.8629989624023,69.6500015258789,18437000,69.6500015258789,"2024","24","09","septiembre","sep.","16","260","lunes","lun.","37","38",3,2024 Q3
2024-09-17,70.0820007324219,70.7630004882812,69.8369979858398,70.6910018920898,22986000,70.6910018920898,"2024","24","09","septiembre","sep.","17","261","martes","mar.","37","38",3,2024 Q3
2024-09-18,70.754997253418,70.754997253418,68.8000030517578,69.0469970703125,29844000,69.0469970703125,"2024","24","09","septiembre","sep.","18","262","miércoles","mié.","37","38",3,2024 Q3
2024-09-19,70.5,71.5660018920898,69.5370025634766,70.431999206543,42285000,70.431999206543,"2024","24","09","septiembre","sep.","19","263","jueves","jue.","37","38",3,2024 Q3
2024-09-20,70.5550003051758,70.6669998168945,69.6309967041016,70.1029968261719,39981000,70.1029968261719,"2024","24","09","septiembre","sep.","20","264","viernes","vie.","37","38",3,2024 Q3
2024-09-23,70.2389984130859,71.2249984741211,69.9160003662109,70.5370025634766,32243000,70.5370025634766,"2024","24","09","septiembre","sep.","23","267","lunes","lun.","38","39",3,2024 Q3
2024-09-24,70.6630020141602,72.2440032958984,70.4449996948242,72.2259979248047,35657000,72.2259979248047,"2024","24","09","septiembre","sep.","24","268","martes","mar.","38","39",3,2024 Q3
2024-09-25,72.0999984741211,72.5120010375977,71.6210021972656,72.1559982299805,22598000,72.1559982299805,"2024","24","09","septiembre","sep.","25","269","miércoles","mié.","38","39",3,2024 Q3
2024-09-26,72.4729995727539,72.5260009765625,70.1719970703125,71.1429977416992,28330000,71.1429977416992,"2024","24","09","septiembre","sep.","26","270","jueves","jue.","38","39",3,2024 Q3
2024-09-27,70.8359985351562,71.0709991455078,70.125,70.7350006103516,23956000,70.7350006103516,"2024","24","09","septiembre","sep.","27","271","viernes","vie.","38","39",3,2024 Q3
2024-09-30,70.6999969482422,71.1210021972656,70.2819976806641,70.927001953125,17099000,70.927001953125,"2024","24","09","septiembre","sep.","30","274","lunes","lun.","39","40",3,2024 Q3
2024-10-01,71.3639984130859,71.7760009765625,69.859001159668,70.6129989624023,28135000,70.6129989624023,"2024","24","10","octubre","oct.","01","275","martes","mar.","39","40",4,2024 Q4
2024-10-02,70.6129989624023,71.6210021972656,70.4690017700195,71.109001159668,17582000,71.109001159668,"2024","24","10","octubre","oct.","02","276","miércoles","mié.","39","40",4,2024 Q4
2024-10-03,70.4260025024414,70.8809967041016,70,70.6800003051758,22564000,70.6800003051758,"2024","24","10","octubre","oct.","03","277","jueves","jue.","39","40",4,2024 Q4
2024-10-04,71.3320007324219,72.1009979248047,70.8820037841797,71.9700012207031,22290000,71.9700012207031,"2024","24","10","octubre","oct.","04","278","viernes","vie.","39","40",4,2024 Q4
2024-10-07,71.4759979248047,71.5879974365234,69.6429977416992,70.1920013427734,33605000,70.1920013427734,"2024","24","10","octubre","oct.","07","281","lunes","lun.","40","41",4,2024 Q4
2024-10-08,70.3880004882812,72.5059967041016,70.3550033569336,72.1760025024414,31874000,72.1760025024414,"2024","24","10","octubre","oct.","08","282","martes","mar.","40","41",4,2024 Q4
2024-10-09,71.9250030517578,72.859001159668,71.8870010375977,72.7429962158203,19811000,72.7429962158203,"2024","24","10","octubre","oct.","09","283","miércoles","mié.","40","41",4,2024 Q4
2024-10-10,72.3290023803711,73.3850021362305,72.25,73.0289993286133,27679000,73.0289993286133,"2024","24","10","octubre","oct.","10","284","jueves","jue.","40","41",4,2024 Q4
